Plant Name,Image File Name,Status,Category,Edibility,Usage,WNNC Location,Notes,Google Search Link,
Cholla (Teddy Bear),Cholla.jpg,Native,Cactus,Edible,Buds edible (roasted); ornamental; hummingbird & cactus wren habitat,T1,Jumping Cholla,https://www.google.com/search?q=Cholla%20%28Teddy%20Bear%29%20California%20native%20plant,
California Coffeeberry,California_Coffeeberry.jpg,Native,Shrub,Poisonous,Medicinal laxative bark; wildlife food; hedging; native garden,"T1, T2",,https://www.google.com/search?q=California%20Coffeeberry%20California%20native%20plant,
Golden Currant,Golden_Currant.jpg,Native,Shrub,Edible,Berries edible; jam; wildlife food; ornamental; aromatic flowers,T1,,https://www.google.com/search?q=Golden%20Currant%20California%20native%20plant,
Mulefat,Mulefat.jpg,Native,Shrub,Not edible,Riparian habitat; stream bank stabilizer; butterfly & bee forage; wildlife cover; fast-growing pioneer,T1,,https://www.google.com/search?q=Mulefat%20California%20native%20plant,
Blue Elderberry,Blue_Elderberry.jpg,Native,Shrub,Caution,Berries for jam/wine (cooked); medicinal; wildlife food; flute-making,T1,,https://www.google.com/search?q=Blue%20Elderberry%20California%20native%20plant,
California Buckwheat,California_Buckwheat.jpg,Native,Shrub,Edible,Pollinator magnet; seeds & flowers edible; medicinal; erosion control,T1,,https://www.google.com/search?q=California%20Buckwheat%20California%20native%20plant,
Black Mustard,Black_Mustard.jpg,Non-native,Herb,Edible,Edible seeds & greens; invasive weed; fire hazard; bee forage,Everywhere,,https://www.google.com/search?q=Black%20Mustard%20California%20native%20plant,
Miners Lettuce,Miners_Lettuce.jpg,Native,Herb,Edible,Excellent edible salad green; anti-scurvy; moist garden groundcover,Everywhere,,https://www.google.com/search?q=Miners%20Lettuce%20California%20native%20plant,
Desert Dandelion,Desert_Dandelion.jpg,Native,Herb,Edible,Edible leaves; desert wildflower display; bee forage,Everywhere,,https://www.google.com/search?q=Desert%20Dandelion%20California%20native%20plant,
Common Dandelion,Common_Dandelion.jpg,Non-native,Herb,Edible,All parts edible; medicinal; bee forage; wine; coffee substitute,Everywhere,,https://www.google.com/search?q=Common%20Dandelion%20California%20native%20plant,
Common Sowthistle,Common_Sowthistle.jpg,Non-native,Herb,Edible,Edible young greens; wildlife food; bee forage; common weed,T2,,https://www.google.com/search?q=Common%20Sowthistle%20California%20native%20plant,
Common Elderberry,Common_Elderberry.jpg,Non-native,Shrub,Caution,Berries edible cooked; medicinal; wildlife food; ornamental,T2,,https://www.google.com/search?q=Common%20Elderberry%20California%20native%20plant,
Desert Sunflower,Desert_Sunflower.jpg,Native,Herb,Edible,Seeds edible; brilliant spring display; bee forage; desert annual,T2,,https://www.google.com/search?q=Desert%20Sunflower%20California%20native%20plant,
Sticky Monkeyflower,Sticky_Monkeyflower.jpg,Native,Shrub,Not edible,Hummingbird plant; ornamental; pollinator habitat; slope stabilizer,T2,,https://www.google.com/search?q=Sticky%20Monkeyflower%20California%20native%20plant,
Mediterranean Sage,Mediterranean_Sage.jpg,Non-native,Shrub,Not edible,Invasive shrub; fire hazard; displaces native sage scrub,T2,,https://www.google.com/search?q=Mediterranean%20Sage%20California%20native%20plant,
California Buckwheat (Flat-top),California_Buckwheat.jpg,Native,Shrub,Edible,Seeds & flowers edible; top pollinator plant; erosion control,T2,,https://www.google.com/search?q=California%20Buckwheat%20%28Flat-top%29%20California%20native%20plant,
Sun Cup,Sun_Cup.jpg,Native,Herb,Edible,Young leaves & roots edible; low-growing spring wildflower; yellow evening-primrose-like flowers; grassland & open woodland ground cover,Everywhere,,https://www.google.com/search?q=Sun%20Cup%20California%20native%20plant,
California Sunflower,California_Sunflower.jpg,Native,Herb,Edible,Seeds edible; wildlife food; riparian garden; pollinator,T2,,https://www.google.com/search?q=California%20Sunflower%20California%20native%20plant,
Chaparral Nightshade,Chaparral_Nightshade.jpg,Native,Shrub,Poisonous,Wildlife food (birds tolerate); berries toxic to humans; chaparral,T2,,https://www.google.com/search?q=Chaparral%20Nightshade%20California%20native%20plant,
California Wild Rose,California_Wild_Rose.jpg,Native,Shrub,Edible,Rose hips for tea/jam (Vit C); medicinal; wildlife food; hedging,T3,,https://www.google.com/search?q=California%20Wild%20Rose%20California%20native%20plant,
Fuchsia-flowered Gooseberry,Fuchsia_flowered_Gooseberry.jpg,Native,Shrub,Caution,Berries edible; hummingbird plant; ornamental; wildlife food,T3,,https://www.google.com/search?q=Fuchsia-flowered%20Gooseberry%20California%20native%20plant,
Laurel Sumac,Laurel_Sumac.jpg,Native,Shrub,Not edible,Wildlife habitat; erosion control; frost-line indicator; windbreak,Parking Lot,,https://www.google.com/search?q=Laurel%20Sumac%20California%20native%20plant,
Matilija Poppy,Matilija_Poppy.jpg,Native,Herb,Not edible,Ornamental (largest flower of any California native); erosion control on slopes; medicinal resin; drought-tolerant garden specimen,Parking Lot,,https://www.google.com/search?q=Matilija%20Poppy%20California%20native%20plant,
Western Sycamore,Western_Sycamore.jpg,Native,Tree,Not edible,Shade tree; riparian habitat; nesting sites; wood for crafts,Parking Lot,,https://www.google.com/search?q=Western%20Sycamore%20California%20native%20plant,
Chinese Holly (Horned Holly),Chinese_Holly.jpg,Non-native,Shrub,Poisonous,Ornamental hedge; berries toxic if ingested; spiny leaves deter intruders; winter berry display; widely used in landscaping,In front of the restroom,,https://www.google.com/search?q=Chinese%20Holly%20%28Horned%20Holly%29%20California%20native%20plant,
Black Sage,Black_Sage.jpg,Native,Shrub,Edible,Culinary herb; medicinal tea; honey plant; seed food; pollinator garden,Native Garden,,https://www.google.com/search?q=Black%20Sage%20California%20native%20plant,
Purple Sage,Purple_Sage.jpg,Native,Shrub,Edible,Culinary & medicinal herb; seeds eaten; pollinator plant; ornamental,Native Garden,,https://www.google.com/search?q=Purple%20Sage%20California%20native%20plant,
Bladderpod,Bladderpod.jpg,Native,Shrub,Not edible,Ornamental pods; desert garden; pollinator plant,Native Garden,,https://www.google.com/search?q=Bladderpod%20California%20native%20plant,
California Sagebrush,California_Sagebrush.jpg,Native,Shrub,Caution,Medicinal poultice; ceremonial; erosion control; sage scrub habitat,Native Garden,cowboy cologne,https://www.google.com/search?q=California%20Sagebrush%20California%20native%20plant,
Ceanothus 'Dark Star' (California Lilac),California_Lilac.jpg,Native,Shrub,Edible,Flowers used for tea; nitrogen fixer; outstanding pollinator shrub; ornamental deep-blue flowers; butterfly & bee magnet,Native Garden,,https://www.google.com/search?q=Ceanothus%20%27Dark%20Star%27%20%28California%20Lilac%29%20California%20native%20plant,
Western Columbine,Western_Columbine.jpg,Native,Herb,Caution,Hummingbird plant; ornamental shade garden; seeds toxic — handle with care; medicinal by Indigenous peoples; moist slope garden,Native Garden,,https://www.google.com/search?q=Western%20Columbine%20California%20native%20plant,
Scarlet Columbine,Scarlet_Columbine.jpg,Native,Herb,Caution,Hummingbird specialist; vivid red & yellow flowers; ornamental; seeds toxic; woodland & streamside garden; pollinator plant,Native Garden,,https://www.google.com/search?q=Scarlet%20Columbine%20California%20native%20plant,
Penstemon,Penstemon.jpg,Native,Herb,Not edible,Hummingbird & bee plant; wide variety of ornamental species; drought-tolerant garden; dry slope erosion control; pollinator corridor,Native Garden,,https://www.google.com/search?q=Penstemon%20California%20native%20plant,
Western Redbud,Western_Redbud.jpg,Native,Tree,Edible,Flowers & young pods edible; basket weaving material; ornamental spring bloomer; pollinator tree; fall color; drought-tolerant,Native Garden,,https://www.google.com/search?q=Western%20Redbud%20California%20native%20plant,
Coastal Sunflower,Coastal_Sunflower.jpg,Native,Herb,Edible,Seeds edible; long-blooming ornamental; coastal & inland garden; excellent pollinator plant; wildlife food; slope stabilizer,Native Garden,,https://www.google.com/search?q=Coastal%20Sunflower%20California%20native%20plant,
Coral Canyon California Fuchsia,Coral_Canyon_California_Fuchsia.jpg,Native,Shrub,Not edible,Hummingbird magnet; vivid coral-red tubular flowers; drought-tolerant ornamental; late summer–fall bloomer; dry rocky slopes,Native Garden,,https://www.google.com/search?q=Coral%20Canyon%20California%20Fuchsia%20California%20native%20plant,
Western Mahogany,Western_Mahogany.jpg,Native,Shrub,Not edible,Extremely hard dense wood used for tools & crafts; deer browse; slope stabilizer; chaparral structure; feathery seed tails ornamental,Native Garden,,https://www.google.com/search?q=Western%20Mahogany%20California%20native%20plant,
Coyote Brush,Coyote_Brush.jpg,Sugar_Bush.jpg,Native,Shrub,Not edible,Erosion control; pioneer revegetation on disturbed soils; insect habitat; fire-resilient; important late-season bee forage,Native Garden,,https://www.google.com/search?q=Coyote%20Brush%20California%20native%20plant
Sugar Bush,Sugar_Bush.jpg,Native,Shrub,Edible,Berries eaten; medicinal; wildlife food; drought-tolerant ornamental,?,,https://www.google.com/search?q=Sugar%20Bush%20California%20native%20plant,
California Poppy,California_Poppy.jpg,Native,Herb,Caution,Medicinal sedative; dried flowers used in teas; ornamental; state flower,?,,https://www.google.com/search?q=California%20Poppy%20California%20native%20plant,
Poison Oak,Poison_Oak.jpg,Native,Shrub,Poisonous,Critical wildlife food (berries); bird habitat; do not touch,?,,https://www.google.com/search?q=Poison%20Oak%20California%20native%20plant,
Fremont Cottonwood,Fremont_Cottonwood.jpg,Native,Tree,Edible,Inner bark edible; riparian habitat; nesting; windbreak; fast shade,?,,https://www.google.com/search?q=Fremont%20Cottonwood%20California%20native%20plant,
Purple Nightshade,Purple_Nightshade.jpg,Native,Shrub,Poisonous,Wildlife food; toxic to humans; dry slope habitat,?,,https://www.google.com/search?q=Purple%20Nightshade%20California%20native%20plant,
Wild Radish,Wild_Radish.jpg,Non-native,Herb,Edible,"Edible roots, leaves & seeds; common weed; bee forage",?,,https://www.google.com/search?q=Wild%20Radish%20California%20native%20plant,
Bermuda Buttercup,Bermuda_Buttercup.jpg,Non-native,Herb,Caution,Edible (high oxalates); ornamental bulb; invasive; tart flavor,?,,https://www.google.com/search?q=Bermuda%20Buttercup%20California%20native%20plant,
Golden Yarrow,Golden_Yarrow.jpg,Native,Herb,Edible,Medicinal; dried arrangement; pollinator; coastal bluff garden,?,,https://www.google.com/search?q=Golden%20Yarrow%20California%20native%20plant,
Showy Milkweed,Showy_Milkweed.jpg,Native,Herb,Poisonous,Monarch butterfly host; fiber; wildlife; restoration planting,?,,https://www.google.com/search?q=Showy%20Milkweed%20California%20native%20plant,
California Barberry,California_Barberry.jpg,Native,Shrub,Caution,Yellow dye from roots; berries for jam; medicinal; hedging,?,,https://www.google.com/search?q=California%20Barberry%20California%20native%20plant,
Desert Willow,Desert_Willow.jpg,Native,Tree,Edible,Flowers edible; ornamental; hummingbird plant; desert riparian,?,,https://www.google.com/search?q=Desert%20Willow%20California%20native%20plant,
California Buttercup,California_Buttercup.jpg,Native,Herb,Poisonous,Ornamental; pollinator; moist meadow restoration; toxic sap,?,,https://www.google.com/search?q=California%20Buttercup%20California%20native%20plant,
Prickly Sowthistle,Prickly_Sowthistle.jpg,Non-native,Herb,Edible,Edible young greens; wildlife food; bee forage; urban weed,?,,https://www.google.com/search?q=Prickly%20Sowthistle%20California%20native%20plant,
Prickly Lettuce,Prickly_Lettuce.jpg,Non-native,Herb,Caution,Edible young leaves (bitter); ancestor of garden lettuce; medicinal,?,,https://www.google.com/search?q=Prickly%20Lettuce%20California%20native%20plant,
Prickly Poppy,Prickly_Poppy.jpg,Native,Herb,Poisonous,Medicinal yellow sap (historic); ornamental; toxic if ingested,?,,https://www.google.com/search?q=Prickly%20Poppy%20California%20native%20plant,
Bladder Sage,Bladder_Sage.jpg,Native,Shrub,Not edible,Ornamental inflated seed pods; desert garden; dry wash,,,https://www.google.com/search?q=Bladder%20Sage%20California%20native%20plant,
California Hedge Nettle,California_Hedge_Nettle.jpg,Native,Herb,Edible,Medicinal tea; hummingbird plant; moist coastal garden; no sting,?,,https://www.google.com/search?q=California%20Hedge%20Nettle%20California%20native%20plant,
Western Redbud,Western_Redbud.jpg,Native,Tree,Edible,Flowers & pods eaten; basket weaving; ornamental; pollinator tree,,,https://www.google.com/search?q=Western%20Redbud%20California%20native%20plant,
Toyon,Toyon.jpg,Native,Shrub,Caution,Berries cooked into preserves; wildlife food; erosion control; ornamental,,,https://www.google.com/search?q=Toyon%20California%20native%20plant,
Chamise,Chamise.jpg,Native,Shrub,Not edible,Fire-adapted habitat; erosion control; chaparral community anchor,,,https://www.google.com/search?q=Chamise%20California%20native%20plant,
Common Manzanita,Common_Manzanita.jpg,Native,Shrub,Edible,Berries eaten raw or as cider; medicinal; wildlife food; ornamental,,,https://www.google.com/search?q=Common%20Manzanita%20California%20native%20plant,
Lemonade Berry,Lemonade_Berry.jpg,Native,Shrub,Edible,Berries soaked for tart drink; wildlife food; erosion control; hedge,,,https://www.google.com/search?q=Lemonade%20Berry%20California%20native%20plant,
Flannel Bush,Flannel_Bush.jpg,Native,Shrub,Poisonous,Ornamental; hummingbird plant; slope stabilization; showy garden shrub,,,https://www.google.com/search?q=Flannel%20Bush%20California%20native%20plant,
Deerweed,Deerweed.jpg,Native,Shrub,Not edible,Nitrogen fixer; post-fire revegetation; butterfly host; erosion control,,,https://www.google.com/search?q=Deerweed%20California%20native%20plant,
Woolly Blue Curls,Woolly_Blue_Curls.jpg,Native,Shrub,Edible,Medicinal; pollinator plant; ornamental; aromatic; bee forage,,,https://www.google.com/search?q=Woolly%20Blue%20Curls%20California%20native%20plant,
Bush Lupine,Bush_Lupine.jpg,Native,Shrub,Poisonous,Nitrogen fixer; coastal stabilizer; wildlife habitat; ornamental,,,https://www.google.com/search?q=Bush%20Lupine%20California%20native%20plant,
Hollyleaf Redberry,Hollyleaf_Redberry.jpg,Native,Shrub,Poisonous,Wildlife food; thicket habitat; deer browse; chaparral structure,,,https://www.google.com/search?q=Hollyleaf%20Redberry%20California%20native%20plant,
Chaparral Clematis,Chaparral_Clematis.jpg,Native,Vine,Poisonous,Wildlife cover; climbing habitat structure; seed plumes decorative,,,https://www.google.com/search?q=Chaparral%20Clematis%20California%20native%20plant,
Wild Cucumber,Wild_Cucumber.jpg,Native,Vine,Poisonous,Wildlife cover; spring ephemeral interest; Indigenous soap use,,,https://www.google.com/search?q=Wild%20Cucumber%20California%20native%20plant,
Blue Blossom Ceanothus,Blue_Blossom_Ceanothus.jpg,Native,Shrub,Edible,Flowers for tea; nitrogen fixer; ornamental; butterfly host plant,,,https://www.google.com/search?q=Blue%20Blossom%20Ceanothus%20California%20native%20plant,
Bigberry Manzanita,Bigberry_Manzanita.jpg,Native,Shrub,Edible,Berries for cider & jelly; wildlife food; ornamental; chaparral anchor,,,https://www.google.com/search?q=Bigberry%20Manzanita%20California%20native%20plant,
Chaparral Whitethorn,Chaparral_Whitethorn.jpg,Native,Shrub,Edible,Nitrogen fixer; wildlife habitat; flowers for tea; chaparral structure,,,https://www.google.com/search?q=Chaparral%20Whitethorn%20California%20native%20plant,
Our Lord's Candle,Our_Lord_s_Candle.jpg,Native,Shrub,Edible,Stalks & flowers eaten; fiber for rope; yucca moth host; ornamental,,,https://www.google.com/search?q=Our%20Lord%27s%20Candle%20California%20native%20plant,
Mojave Yucca,Mojave_Yucca.jpg,Native,Shrub,Edible,Fruit & flowers eaten; fiber for rope & baskets; soap from roots,,,https://www.google.com/search?q=Mojave%20Yucca%20California%20native%20plant,
Beavertail Cactus,Beavertail_Cactus.jpg,Native,Cactus,Edible,Pads & fruit edible; ornamental; hummingbird food; desert garden,,,https://www.google.com/search?q=Beavertail%20Cactus%20California%20native%20plant,
Brittlebush,Brittlebush.jpg,Native,Shrub,Not edible,Resin used as incense; ornamental; erosion control; pollinator plant,,,https://www.google.com/search?q=Brittlebush%20California%20native%20plant,
Creosote Bush,Creosote_Bush.jpg,Native,Shrub,Caution,Medicinal anti-fungal; oldest living plant; desert ecosystem anchor,,,https://www.google.com/search?q=Creosote%20Bush%20California%20native%20plant,
Ocotillo,Ocotillo.jpg,Native,Shrub,Edible,Flowers eaten; fencing (live hedges); hummingbird plant; desert ornamental,,,https://www.google.com/search?q=Ocotillo%20California%20native%20plant,
Desert Agave,Desert_Agave.jpg,Native,Cactus,Edible,Roasted hearts eaten; fiber; soap; cultural food; century plant,,,https://www.google.com/search?q=Desert%20Agave%20California%20native%20plant,
Chaparral Pea,Chaparral_Pea.jpg,Native,Shrub,Poisonous,Rare chaparral endemic; nitrogen fixer; wildlife thicket,,,https://www.google.com/search?q=Chaparral%20Pea%20California%20native%20plant,
Mountain Mahogany,Mountain_Mahogany.jpg,Native,Shrub,Not edible,Extremely hard wood for tools; deer browse; slope stabilization,,,https://www.google.com/search?q=Mountain%20Mahogany%20California%20native%20plant,
Silk Tassel Bush,Silk_Tassel_Bush.jpg,Native,Shrub,Not edible,Ornamental catkins; wildlife shelter; medicinal bark; hedging,,,https://www.google.com/search?q=Silk%20Tassel%20Bush%20California%20native%20plant,
Hollyleaf Cherry,Hollyleaf_Cherry.jpg,Native,Shrub,Caution,Fruit eaten (pit removed); wildlife food; hedging; shade plant,,,https://www.google.com/search?q=Hollyleaf%20Cherry%20California%20native%20plant,
Scalebroom,Scalebroom.jpg,Native,Shrub,Not edible,Desert wash stabilizer; flood channel revegetation,,,https://www.google.com/search?q=Scalebroom%20California%20native%20plant,
Blue Dicks,Blue_Dicks.jpg,Native,Herb,Edible,Corms eaten raw or cooked; important Indigenous staple food,,,https://www.google.com/search?q=Blue%20Dicks%20California%20native%20plant,
Superb Mariposa Lily,Superb_Mariposa_Lily.jpg,Native,Herb,Edible,Bulbs eaten; ornamental; pollinator; Indigenous food source,,,https://www.google.com/search?q=Superb%20Mariposa%20Lily%20California%20native%20plant,
Yellow Mariposa Lily,Yellow_Mariposa_Lily.jpg,Native,Herb,Edible,Bulbs eaten; ornamental; pollinator; clay soil specialist,,,https://www.google.com/search?q=Yellow%20Mariposa%20Lily%20California%20native%20plant,
Ithuriel's Spear,Ithuriel_s_Spear.jpg,Native,Herb,Edible,Corms eaten; ornamental; pollinator; Indigenous food source,,,https://www.google.com/search?q=Ithuriel%27s%20Spear%20California%20native%20plant,
White Globe Lily,White_Globe_Lily.jpg,Native,Herb,Edible,Bulbs edible; shade garden ornamental; pollinator,,,https://www.google.com/search?q=White%20Globe%20Lily%20California%20native%20plant,
Shooting Star,Shooting_Star.jpg,Native,Herb,Not edible,Ornamental; pollinator (buzz pollination by bumblebees); moist garden,,,https://www.google.com/search?q=Shooting%20Star%20California%20native%20plant,
Indian Paintbrush,Indian_Paintbrush.jpg,Native,Herb,Caution,Medicinal; hummingbird plant; ornamental; hemiparasitic indicator,,,https://www.google.com/search?q=Indian%20Paintbrush%20California%20native%20plant,
Owl's Clover,Owl_s_Clover.jpg,Native,Herb,Caution,Pollinator; grassland wildflower display; hemiparasitic on grasses,,,https://www.google.com/search?q=Owl%27s%20Clover%20California%20native%20plant,
Tidy Tips,Tidy_Tips.jpg,Native,Herb,Edible,Petals edible; wildflower garden; pollinator; companion planting,,,https://www.google.com/search?q=Tidy%20Tips%20California%20native%20plant,
Baby Blue Eyes,Baby_Blue_Eyes.jpg,Native,Herb,Not edible,Ornamental ground cover; pollinator; wildflower meadow,,,https://www.google.com/search?q=Baby%20Blue%20Eyes%20California%20native%20plant,
Farewell to Spring,Farewell_to_Spring.jpg,Native,Herb,Edible,Petals edible; ornamental; cut flower; late-season wildflower,,,https://www.google.com/search?q=Farewell%20to%20Spring%20California%20native%20plant,
Globe Gilia,Globe_Gilia.jpg,Native,Herb,Not edible,Pollinator magnet; wildflower garden; native seed mixes,,,https://www.google.com/search?q=Globe%20Gilia%20California%20native%20plant,
Chia,Chia.jpg,Native,Herb,Edible,Seeds highly nutritious (omega-3); Indigenous staple food; medicinal,,,https://www.google.com/search?q=Chia%20California%20native%20plant,
California Milkmaids,California_Milkmaids.jpg,Native,Herb,Edible,Peppery edible leaves; early-season pollinator; woodland garden,,,https://www.google.com/search?q=California%20Milkmaids%20California%20native%20plant,
Miniature Lupine,Miniature_Lupine.jpg,Native,Herb,Poisonous,Nitrogen fixer; wildflower display; butterfly host; seed toxic,,,https://www.google.com/search?q=Miniature%20Lupine%20California%20native%20plant,
Sky Lupine,Sky_Lupine.jpg,Native,Herb,Poisonous,Nitrogen fixer; wildflower display; butterfly larval host,,,https://www.google.com/search?q=Sky%20Lupine%20California%20native%20plant,
Red Maids,Red_Maids.jpg,Native,Herb,Edible,Seeds important Indigenous grain; edible leaves; grassland annual,,,https://www.google.com/search?q=Red%20Maids%20California%20native%20plant,
Blue-eyed Grass,Blue_eyed_Grass.jpg,Native,Herb,Not edible,Ornamental; pollinator; coastal prairie restoration; iris relative,,,https://www.google.com/search?q=Blue-eyed%20Grass%20California%20native%20plant,
Chinese Houses,Chinese_Houses.jpg,Native,Herb,Not edible,Ornamental; pollinator; woodland garden; shade tolerant,,,https://www.google.com/search?q=Chinese%20Houses%20California%20native%20plant,
Douglas Iris,Douglas_Iris.jpg,Native,Herb,Poisonous,Ornamental; fiber from leaves; hummingbird plant; coastal prairie,,,https://www.google.com/search?q=Douglas%20Iris%20California%20native%20plant,
Checker Bloom,Checker_Bloom.jpg,Native,Herb,Edible,Edible leaves; ornamental; pollinator; coastal prairie restoration,,,https://www.google.com/search?q=Checker%20Bloom%20California%20native%20plant,
Scarlet Bugler Penstemon,Scarlet_Bugler_Penstemon.jpg,Native,Herb,Not edible,Hummingbird specialist; ornamental; dry slope garden,,,https://www.google.com/search?q=Scarlet%20Bugler%20Penstemon%20California%20native%20plant,
Foothill Penstemon,Foothill_Penstemon.jpg,Native,Herb,Not edible,Ornamental; pollinator; dry slope & chaparral garden,,,https://www.google.com/search?q=Foothill%20Penstemon%20California%20native%20plant,
California Goldfields,California_Goldfields.jpg,Native,Herb,Not edible,Mass wildflower display; vernal pool indicator; bee forage,,,https://www.google.com/search?q=California%20Goldfields%20California%20native%20plant,
superb Mariposa Lily,superb_Mariposa_Lily.jpg,Native,Herb,Not edible,Wildflower display; pollinator; companion to poppies,,,https://www.google.com/search?q=superb%20Mariposa%20Lily%20California%20native%20plant,
Wind Poppy,Wind_Poppy.jpg,Native,Herb,Not edible,Rare ornamental; chaparral wildflower; spring display,,,https://www.google.com/search?q=Wind%20Poppy%20California%20native%20plant,
Blazing Star,Blazing_Star.jpg,Native,Herb,Edible,Seeds edible; ornamental nocturnal bloomer; moth-pollinated,,,https://www.google.com/search?q=Blazing%20Star%20California%20native%20plant,
Woolly Sunflower,Woolly_Sunflower.jpg,Native,Shrub,Not edible,Ornamental silver foliage; pollinator; dry slope erosion control,,,https://www.google.com/search?q=Woolly%20Sunflower%20California%20native%20plant,
Tarweed,Tarweed.jpg,Native,Herb,Edible,Seeds edible (oily); late-season pollinator; summer grassland,,,https://www.google.com/search?q=Tarweed%20California%20native%20plant,
Mule Ears,Mule_Ears.jpg,Native,Herb,Edible,Seeds edible; wildlife food; grassland ornamental; spreading perennial,,,https://www.google.com/search?q=Mule%20Ears%20California%20native%20plant,
Gumweed,Gumweed.jpg,Native,Herb,Caution,Medicinal (expectorant); coastal bluff garden; pollinator,,,https://www.google.com/search?q=Gumweed%20California%20native%20plant,
Seaside Daisy,Seaside_Daisy.jpg,Native,Herb,Not edible,Ornamental ground cover; coastal garden; erosion control,,,https://www.google.com/search?q=Seaside%20Daisy%20California%20native%20plant,
Desert Chicory,Desert_Chicory.jpg,Native,Herb,Edible,Edible leaves; desert wildflower; early bee forage,,,https://www.google.com/search?q=Desert%20Chicory%20California%20native%20plant,
Apricot Mallow,Apricot_Mallow.jpg,Native,Herb,Edible,Young leaves edible; desert ornamental; drought garden,,,https://www.google.com/search?q=Apricot%20Mallow%20California%20native%20plant,
Desert Marigold,Desert_Marigold.jpg,Native,Herb,Poisonous,Ornamental; long-blooming desert display; toxic to livestock,,,https://www.google.com/search?q=Desert%20Marigold%20California%20native%20plant,
Evening Primrose,Evening_Primrose.jpg,Native,Herb,Edible,Roots & young leaves edible; moth-pollinated; nocturnal garden,,,https://www.google.com/search?q=Evening%20Primrose%20California%20native%20plant,
Sand Verbena (Pink),Sand_Verbena.jpg,Native,Herb,Not edible,Coastal dune stabilizer; fragrant ornamental; beach garden,,,https://www.google.com/search?q=Sand%20Verbena%20%28Pink%29%20California%20native%20plant,
Beach Evening Primrose,Beach_Evening_Primrose.jpg,Native,Herb,Not edible,Coastal dune stabilizer; sandy garden; silver foliage ornamental,,,https://www.google.com/search?q=Beach%20Evening%20Primrose%20California%20native%20plant,
California Phacelia,California_Phacelia.jpg,Native,Herb,Caution,Pollinator; medicinal; rocky garden; skin irritant,,,https://www.google.com/search?q=California%20Phacelia%20California%20native%20plant,
Blue Phacelia,Blue_Phacelia.jpg,Native,Herb,Caution,Bee forage; desert wildflower; revegetation seed mixes,,,https://www.google.com/search?q=Blue%20Phacelia%20California%20native%20plant,
Whispering Bells,Whispering_Bells.jpg,Native,Herb,Not edible,Post-fire pioneer; dried flower arrangements; interesting texture,,,https://www.google.com/search?q=Whispering%20Bells%20California%20native%20plant,
