Plant Name,Status,Category,Edibility,Usage,WNNC Location,Notes,,,,
Sun Cup,Native,Herb,Edible,Young leaves & roots edible; low-growing spring wildflower; yellow evening-primrose-like flowers; grassland & open woodland ground cover,Everywhere,,,,,
California Sunflower,Native,Herb,Edible,Seeds edible; wildlife food; riparian garden; pollinator,T2,,,,,
Chaparral Nightshade,Native,Shrub,Poisonous,Wildlife food (birds tolerate); berries toxic to humans; chaparral,T2,,,,,
California Wild Rose,Native,Shrub,Edible,Rose hips for tea/jam (Vit C); medicinal; wildlife food; hedging,T3,,,,,
Fuchsia-flowered Gooseberry,Native,Shrub,Caution,Berries edible; hummingbird plant; ornamental; wildlife food,T3,,,,,
Laurel Sumac,Native,Shrub,Not edible,Wildlife habitat; erosion control; frost-line indicator; windbreak,Parking Lot,,,,,
Matilija Poppy,Native,Herb,Not edible,Ornamental (largest flower of any California native); erosion control on slopes; medicinal resin; drought-tolerant garden specimen,Parking Lot,,,,,
Western Sycamore,Native,Tree,Not edible,Shade tree; riparian habitat; nesting sites; wood for crafts,Parking Lot,,,,,
Chinese Holly (Horned Holly),Non-native,Shrub,Poisonous,Ornamental hedge; berries toxic if ingested; spiny leaves deter intruders; winter berry display; widely used in landscaping,In front of the restroom,,,,,
Black Sage,Native,Shrub,Edible,Culinary herb; medicinal tea; honey plant; seed food; pollinator garden,Native Garden,,,,,
Purple Sage,Native,Shrub,Edible,Culinary & medicinal herb; seeds eaten; pollinator plant; ornamental,Native Garden,,,,,
Bladder Sage,Native,Shrub,Not edible,Ornamental inflated seed pods; desert garden; dry wash,Native Garden,,,,,
California Sagebrush,Native,Shrub,Caution,Medicinal poultice; ceremonial; erosion control; sage scrub habitat,Native Garden,cowboy cologne,,,,
Ceanothus 'Dark Star' (California Lilac),Native,Shrub,Edible,Flowers used for tea; nitrogen fixer; outstanding pollinator shrub; ornamental deep-blue flowers; butterfly & bee magnet,Native Garden,,,,,
Western Columbine,Native,Herb,Caution,Hummingbird plant; ornamental shade garden; seeds toxic — handle with care; medicinal by Indigenous peoples; moist slope garden,Native Garden,,,,,
Scarlet Columbine,Native,Herb,Caution,Hummingbird specialist; vivid red & yellow flowers; ornamental; seeds toxic; woodland & streamside garden; pollinator plant,Native Garden,,,,,
Penstemon,Native,Herb,Not edible,Hummingbird & bee plant; wide variety of ornamental species; drought-tolerant garden; dry slope erosion control; pollinator corridor,Native Garden,,,,,
Western Redbud,Native,Tree,Edible,Flowers & young pods edible; basket weaving material; ornamental spring bloomer; pollinator tree; fall color; drought-tolerant,Native Garden,,,,,
Coastal Sunflower,Native,Herb,Edible,Seeds edible; long-blooming ornamental; coastal & inland garden; excellent pollinator plant; wildlife food; slope stabilizer,Native Garden,,,,,
Coral Canyon California Fuchsia,Native,Shrub,Not edible,Hummingbird magnet; vivid coral-red tubular flowers; drought-tolerant ornamental; late summer–fall bloomer; dry rocky slopes,Native Garden,,,,,
Western Mahogany,Native,Shrub,Not edible,Extremely hard dense wood used for tools & crafts; deer browse; slope stabilizer; chaparral structure; feathery seed tails ornamental,Native Garden,,,,,
Coyote Brush,Native,Shrub,Not edible,Erosion control; pioneer revegetation on disturbed soils; insect habitat; fire-resilient; important late-season bee forage,Native Garden,,,,,
Sugar Bush,Native,Shrub,Edible,Berries eaten; medicinal; wildlife food; drought-tolerant ornamental,?,,,,,
California Poppy,Native,Herb,Caution,Medicinal sedative; dried flowers used in teas; ornamental; state flower,?,,,,,
Poison Oak,Native,Shrub,Poisonous,Critical wildlife food (berries); bird habitat; do not touch,?,,,,,
Fremont Cottonwood,Native,Tree,Edible,Inner bark edible; riparian habitat; nesting; windbreak; fast shade,?,,,,,
Purple Nightshade,Native,Shrub,Poisonous,Wildlife food; toxic to humans; dry slope habitat,?,,,,,
Wild Radish,Non-native,Herb,Edible,"Edible roots, leaves & seeds; common weed; bee forage",?,,,,,
Bermuda Buttercup,Non-native,Herb,Caution,Edible (high oxalates); ornamental bulb; invasive; tart flavor,?,,,,,
Golden Yarrow,Native,Herb,Edible,Medicinal; dried arrangement; pollinator; coastal bluff garden,?,,,,,
Showy Milkweed,Native,Herb,Poisonous,Monarch butterfly host; fiber; wildlife; restoration planting,?,,,,,
California Barberry,Native,Shrub,Caution,Yellow dye from roots; berries for jam; medicinal; hedging,?,,,,,
Desert Willow,Native,Tree,Edible,Flowers edible; ornamental; hummingbird plant; desert riparian,?,,,,,
California Buttercup,Native,Herb,Poisonous,Ornamental; pollinator; moist meadow restoration; toxic sap,?,,,,,
Prickly Sowthistle,Non-native,Herb,Edible,Edible young greens; wildlife food; bee forage; urban weed,?,,,,,
Prickly Lettuce,Non-native,Herb,Caution,Edible young leaves (bitter); ancestor of garden lettuce; medicinal,?,,,,,
Prickly Poppy,Native,Herb,Poisonous,Medicinal yellow sap (historic); ornamental; toxic if ingested,?,,,,,
California Hedge Nettle,Native,Herb,Edible,Medicinal tea; hummingbird plant; moist coastal garden; no sting,?,,,,,
Western Redbud,Native,Tree,Edible,Flowers & pods eaten; basket weaving; ornamental; pollinator tree,,,,,,
Toyon,Native,Shrub,Caution,Berries cooked into preserves; wildlife food; erosion control; ornamental,,,,,,
Chamise,Native,Shrub,Not edible,Fire-adapted habitat; erosion control; chaparral community anchor,,,,,,
Common Manzanita,Native,Shrub,Edible,Berries eaten raw or as cider; medicinal; wildlife food; ornamental,,,,,,
Lemonade Berry,Native,Shrub,Edible,Berries soaked for tart drink; wildlife food; erosion control; hedge,,,,,,
Flannel Bush,Native,Shrub,Poisonous,Ornamental; hummingbird plant; slope stabilization; showy garden shrub,,,,,,
Deerweed,Native,Shrub,Not edible,Nitrogen fixer; post-fire revegetation; butterfly host; erosion control,,,,,,
Woolly Blue Curls,Native,Shrub,Edible,Medicinal; pollinator plant; ornamental; aromatic; bee forage,,,,,,
Bush Lupine,Native,Shrub,Poisonous,Nitrogen fixer; coastal stabilizer; wildlife habitat; ornamental,,,,,,
Hollyleaf Redberry,Native,Shrub,Poisonous,Wildlife food; thicket habitat; deer browse; chaparral structure,,,,,,
Chaparral Clematis,Native,Vine,Poisonous,Wildlife cover; climbing habitat structure; seed plumes decorative,,,,,,
Wild Cucumber,Native,Vine,Poisonous,Wildlife cover; spring ephemeral interest; Indigenous soap use,,,,,,
Blue Blossom Ceanothus,Native,Shrub,Edible,Flowers for tea; nitrogen fixer; ornamental; butterfly host plant,,,,,,
Bigberry Manzanita,Native,Shrub,Edible,Berries for cider & jelly; wildlife food; ornamental; chaparral anchor,,,,,,
Chaparral Whitethorn,Native,Shrub,Edible,Nitrogen fixer; wildlife habitat; flowers for tea; chaparral structure,,,,,,
Our Lord's Candle,Native,Shrub,Edible,Stalks & flowers eaten; fiber for rope; yucca moth host; ornamental,,,,,,
Mojave Yucca,Native,Shrub,Edible,Fruit & flowers eaten; fiber for rope & baskets; soap from roots,,,,,,
Beavertail Cactus,Native,Cactus,Edible,Pads & fruit edible; ornamental; hummingbird food; desert garden,,,,,,
Brittlebush,Native,Shrub,Not edible,Resin used as incense; ornamental; erosion control; pollinator plant,,,,,,
Creosote Bush,Native,Shrub,Caution,Medicinal anti-fungal; oldest living plant; desert ecosystem anchor,,,,,,
Ocotillo,Native,Shrub,Edible,Flowers eaten; fencing (live hedges); hummingbird plant; desert ornamental,,,,,,
Desert Agave,Native,Cactus,Edible,Roasted hearts eaten; fiber; soap; cultural food; century plant,,,,,,
Chaparral Pea,Native,Shrub,Poisonous,Rare chaparral endemic; nitrogen fixer; wildlife thicket,,,,,,
Mountain Mahogany,Native,Shrub,Not edible,Extremely hard wood for tools; deer browse; slope stabilization,,,,,,
Silk Tassel Bush,Native,Shrub,Not edible,Ornamental catkins; wildlife shelter; medicinal bark; hedging,,,,,,
Hollyleaf Cherry,Native,Shrub,Caution,Fruit eaten (pit removed); wildlife food; hedging; shade plant,,,,,,
Scalebroom,Native,Shrub,Not edible,Desert wash stabilizer; flood channel revegetation,,,,,,
Bladderpod,Native,Shrub,Not edible,Ornamental pods; desert garden; pollinator plant,,,,,,
Blue Dicks,Native,Herb,Edible,Corms eaten raw or cooked; important Indigenous staple food,,,,,,
Superb Mariposa Lily,Native,Herb,Edible,Bulbs eaten; ornamental; pollinator; Indigenous food source,,,,,,
Yellow Mariposa Lily,Native,Herb,Edible,Bulbs eaten; ornamental; pollinator; clay soil specialist,,,,,,
Ithuriel's Spear,Native,Herb,Edible,Corms eaten; ornamental; pollinator; Indigenous food source,,,,,,
White Globe Lily,Native,Herb,Edible,Bulbs edible; shade garden ornamental; pollinator,,,,,,
Shooting Star,Native,Herb,Not edible,Ornamental; pollinator (buzz pollination by bumblebees); moist garden,,,,,,
Indian Paintbrush,Native,Herb,Caution,Medicinal; hummingbird plant; ornamental; hemiparasitic indicator,,,,,,
Owl's Clover,Native,Herb,Caution,Pollinator; grassland wildflower display; hemiparasitic on grasses,,,,,,
Tidy Tips,Native,Herb,Edible,Petals edible; wildflower garden; pollinator; companion planting,,,,,,
Baby Blue Eyes,Native,Herb,Not edible,Ornamental ground cover; pollinator; wildflower meadow,,,,,,
Farewell to Spring,Native,Herb,Edible,Petals edible; ornamental; cut flower; late-season wildflower,,,,,,
Globe Gilia,Native,Herb,Not edible,Pollinator magnet; wildflower garden; native seed mixes,,,,,,
Chia,Native,Herb,Edible,Seeds highly nutritious (omega-3); Indigenous staple food; medicinal,,,,,,
California Milkmaids,Native,Herb,Edible,Peppery edible leaves; early-season pollinator; woodland garden,,,,,,
Miniature Lupine,Native,Herb,Poisonous,Nitrogen fixer; wildflower display; butterfly host; seed toxic,,,,,,
Sky Lupine,Native,Herb,Poisonous,Nitrogen fixer; wildflower display; butterfly larval host,,,,,,
Red Maids,Native,Herb,Edible,Seeds important Indigenous grain; edible leaves; grassland annual,,,,,,
Blue-eyed Grass,Native,Herb,Not edible,Ornamental; pollinator; coastal prairie restoration; iris relative,,,,,,
Chinese Houses,Native,Herb,Not edible,Ornamental; pollinator; woodland garden; shade tolerant,,,,,,
Douglas Iris,Native,Herb,Poisonous,Ornamental; fiber from leaves; hummingbird plant; coastal prairie,,,,,,
Checker Bloom,Native,Herb,Edible,Edible leaves; ornamental; pollinator; coastal prairie restoration,,,,,,
Scarlet Bugler Penstemon,Native,Herb,Not edible,Hummingbird specialist; ornamental; dry slope garden,,,,,,
Foothill Penstemon,Native,Herb,Not edible,Ornamental; pollinator; dry slope & chaparral garden,,,,,,
California Goldfields,Native,Herb,Not edible,Mass wildflower display; vernal pool indicator; bee forage,,,,,,
superb Mariposa Lily,Native,Herb,Not edible,Wildflower display; pollinator; companion to poppies,,,,,,
Wind Poppy,Native,Herb,Not edible,Rare ornamental; chaparral wildflower; spring display,,,,,,
Blazing Star,Native,Herb,Edible,Seeds edible; ornamental nocturnal bloomer; moth-pollinated,,,,,,
Woolly Sunflower,Native,Shrub,Not edible,Ornamental silver foliage; pollinator; dry slope erosion control,,,,,,
Tarweed,Native,Herb,Edible,Seeds edible (oily); late-season pollinator; summer grassland,,,,,,
Mule Ears,Native,Herb,Edible,Seeds edible; wildlife food; grassland ornamental; spreading perennial,,,,,,
Gumweed,Native,Herb,Caution,Medicinal (expectorant); coastal bluff garden; pollinator,,,,,,
Seaside Daisy,Native,Herb,Not edible,Ornamental ground cover; coastal garden; erosion control,,,,,,
Desert Chicory,Native,Herb,Edible,Edible leaves; desert wildflower; early bee forage,,,,,,
Apricot Mallow,Native,Herb,Edible,Young leaves edible; desert ornamental; drought garden,,,,,,
Desert Marigold,Native,Herb,Poisonous,Ornamental; long-blooming desert display; toxic to livestock,,,,,,
Evening Primrose,Native,Herb,Edible,Roots & young leaves edible; moth-pollinated; nocturnal garden,,,,,,
Sand Verbena (Pink),Native,Herb,Not edible,Coastal dune stabilizer; fragrant ornamental; beach garden,,,,,,
Beach Evening Primrose,Native,Herb,Not edible,Coastal dune stabilizer; sandy garden; silver foliage ornamental,,,,,,
California Phacelia,Native,Herb,Caution,Pollinator; medicinal; rocky garden; skin irritant,,,,,,
Blue Phacelia,Native,Herb,Caution,Bee forage; desert wildflower; revegetation seed mixes,,,,,,
Whispering Bells,Native,Herb,Not edible,Post-fire pioneer; dried flower arrangements; interesting texture,,,,,,
Fiesta Flower,Native,Herb,Caution,Woodland garden; spring wildflower; velcro-like stems for climbing,,,,,,
Biscuitroot,Native,Herb,Edible,Roots & seeds eaten; important Indigenous food; pollinator,,,,,,
Blue Larkspur,Native,Herb,Poisonous,Ornamental; pollinator; grassland wildflower; all parts toxic,,,,,,
Scarlet Larkspur,Native,Herb,Poisonous,Hummingbird plant; ornamental; chaparral garden; all parts toxic,,,,,,
Soap Plant,Native,Herb,Caution,Bulb coat as soap & brush; roasted bulb edible; fiber; medicinal,,,,,,
Paper Wild Onion,Native,Herb,Edible,Edible bulbs & leaves; Indigenous food; grassland plant,,,,,,
Harvest Brodiaea,Native,Herb,Edible,Corms important Indigenous food; ornamental; dry garden,,,,,,
Mission Bells,Native,Herb,Poisonous,Ornamental; bulb toxic; grassland & woodland wildflower,,,,,,
Adobe Lily,Native,Herb,Poisonous,Rare ornamental; clay soil specialist; bulb toxic,,,,,,
Death Camas,Native,Herb,Poisonous,DEADLY - important safety awareness plant; grassland hazard,,,,,,
Fiddleneck,Native,Herb,Caution,Early bee forage; seeds toxic to livestock; grassland indicator,,,,,,
Butter and Eggs,Native,Herb,Caution,Hemiparasitic; pollinator; grassland wildflower mix,,,,,,
Rosinweed,Native,Herb,Edible,Seeds edible; pollinator; summer grassland display,,,,,,
Hummingbird Trumpet,Native,Shrub,Not edible,Hummingbird plant; fall garden; drought-tolerant ornamental,,,,,,
Crimson Monkeyflower,Native,Herb,Edible,Edible leaves; hummingbird plant; stream garden; ornamental,,,,,,
Seep Monkeyflower,Native,Herb,Edible,Edible leaves; water garden; pollinator; stream bank stabilizer,,,,,,
Scarlet Bush Monkeyflower,Native,Shrub,Not edible,Hummingbird specialist; rare coastal sage endemic; ornamental,,,,,,
Keckiella (Red),Native,Shrub,Not edible,Hummingbird plant; ornamental; chaparral climbing shrub,,,,,,
Yellow Bush Penstemon,Native,Shrub,Not edible,Ornamental; pollinator; chaparral garden,,,,,,
Apache Plume,Native,Shrub,Not edible,Ornamental feathery seed plumes; desert garden; wildlife cover,,,,,,
Cliffrose,Native,Shrub,Not edible,Fragrant ornamental; deer browse; desert mountain garden,,,,,,
Desert Lavender,Native,Shrub,Edible,Fragrant tea; medicinal; bee forage; desert ornamental,,,,,,
Pearly Everlasting,Native,Herb,Edible,Dried flower arrangements; medicinal; pollinator; meadow garden,,,,,,
Woolly Paintbrush,Native,Herb,Caution,Hummingbird plant; ornamental; hemiparasitic; dry slope garden,,,,,,
Indian Warrior,Native,Herb,Poisonous,Hummingbird plant; ornamental; early bloomer; hemiparasitic; toxic,,,,,,
Sea Fig,Native,Herb,Edible,Edible tart fruit; coastal ground cover; dune stabilizer,,,,,,
Spectacle Pod,Native,Herb,Not edible,Desert ornamental; unique seed pods; sandy soil garden,,,,,,
Valley Oak,Native,Tree,Caution,Acorns as Indigenous staple (leached); timber; shade; wildlife mast,,,,,,
California Black Oak,Native,Tree,Caution,Acorns leached for food; timber; fall color; wildlife habitat,,,,,,
Blue Oak,Native,Tree,Caution,Acorns leached for food; savanna habitat; drought-tolerant shade,,,,,,
California Buckeye,Native,Tree,Poisonous,Ornamental flowers; Indigenous fish stunning; shade; wildlife cover,,,,,,
Pacific Madrone,Native,Tree,Caution,Berries edible; wood for tools; ornamental bark; wildlife food,,,,,,
California Bay Laurel,Native,Tree,Caution,Leaves as cooking bay; medicinal; wood for crafts; wildlife cover,,,,,,
Gray Pine,Native,Tree,Edible,Large seeds eaten; resin uses; wildlife mast tree; foothill accent,,,,,,
Coulter Pine,Native,Tree,Edible,Large seeds edible; ornamental cones; wildlife habitat; mountain slopes,,,,,,
Knobcone Pine,Native,Tree,Edible,Seeds edible; fire ecology interest; serotinous cones; wildlife,,,,,,
White Alder,Native,Tree,Not edible,Nitrogen-fixing riparian tree; dye from bark; stream bank stabilizer,,,,,,
Big-leaf Maple,Native,Tree,Edible,Sap for syrup; seeds edible; fall color; wildlife; wood for crafts,,,,,,
Pacific Dogwood,Native,Tree,Not edible,Ornamental; fall color; wildlife food; understory accent tree,,,,,,
California Ash,Native,Tree,Not edible,Riparian habitat; ornamental; wildlife food; canyon accent,,,,,,
Tanoak,Native,Tree,Caution,Acorns leached for food; tannin for leather; wildlife mast; timber,,,,,,
Western Juniper,Native,Tree,Caution,Berries (small amounts) flavoring; wood for posts; wildlife food,,,,,,
Blue Palo Verde,Native,Tree,Edible,Seeds & flowers edible; nitrogen fixer; desert shade; hummingbird,,,,,,
Desert Ironwood,Native,Tree,Edible,Seeds roasted & eaten; hardest North American wood; nurse plant,,,,,,
California Wild Ginger,Native,Herb,Caution,Aromatic rhizome as ginger substitute; shade garden ground cover,,,,,,
Coral Bells,Native,Herb,Not edible,Ornamental; hummingbird plant; shaded rock garden; cut flower,,,,,,
Mountain Pennyroyal,Native,Herb,Edible,Aromatic tea; medicinal; rock garden; bee forage; minty fragrance,,,,,,
Coyote Mint,Native,Herb,Edible,Edible minty tea; medicinal; pollinator; dry garden ornamental,,,,,,
Purple Needlegrass,Native,Grass,Edible,State grass; seeds edible; erosion control; native lawn substitute,,,,,,
Deer Grass,Native,Grass,Not edible,Basket weaving; erosion control; ornamental clump; wildlife cover,,,,,,
Blue Wild Rye,Native,Grass,Edible,Seeds edible; erosion control; shade-tolerant native grass; wildlife,,,,,,
Salt Grass,Native,Grass,Edible,Edible salty seeds; salt marsh stabilizer; alkaline soil specialist,,,,,,
California Cord Grass,Native,Grass,Not edible,Salt marsh stabilizer; tidal wetland; bird nesting; erosion control,,,,,,
Tule,Native,Grass,Edible,Pollen & shoots edible; tule elk habitat; mat weaving; Indigenous boats,,,,,,
Common Cattail,Native,Grass,Edible,Multiple edible parts; weaving; wildlife; water filtration; wetland,,,,,,
Pacific Rush,Native,Grass,Not edible,Wetland restoration; basket weaving; wildlife cover; water filtration,,,,,,
Meadow Barley,Native,Grass,Edible,Seeds edible; native lawn; coastal meadow restoration; wildlife,,,,,,
Indian Ricegrass,Native,Grass,Edible,Important Indigenous grain; high protein; desert erosion control,,,,,,
One-sided Bluegrass,Native,Grass,Edible,Seeds edible; widespread erosion control; dry slope restoration,,,,,,
Pacific Fescue,Native,Grass,Edible,Seeds edible; ornamental bunchgrass; woodland shade grass; wildlife,,,,,,
Slender Hairgrass,Native,Grass,Edible,Seeds edible; ornamental; moist meadow restoration; streamside,,,,,,
Mesa Sedge,Native,Grass,Not edible,Native lawn substitute; coastal meadow; erosion control; low water,,,,,,
Spikerush,Native,Grass,Edible,Rootstocks edible; vernal pool restoration; water garden; wildlife,,,,,,
Western Sword Fern,Native,Fern,Not edible,Ornamental; forest understory; fronds used in floristry; wildlife,,,,,,
Goldback Fern,Native,Fern,Not edible,Ornamental gold-backed fronds; dry shade garden; chaparral fern,,,,,,
California Polypody,Native,Fern,Edible,Rhizomes licorice-flavored; rock garden fern; cliff face ornamental,,,,,,
Five-finger Fern,Native,Fern,Not edible,Delicate ornamental; stream spray zones; moist rock garden,,,,,,
Silverback Fern,Native,Fern,Not edible,Ornamental silver underside; dry rocky garden; chaparral fern,,,,,,
Coffee Fern,Native,Fern,Not edible,Drought-tolerant fern; chaparral; ornamental coffee-bean leaflets,,,,,,
Bird's-foot Fern,Native,Fern,Not edible,Drought-adapted fern; rock garden; desert edge ornamental,,,,,,
Bracken Fern,Native,Fern,Caution,Young fronds edible in small amounts; carcinogenic if eaten often,,,,,,
Lady Fern,Native,Fern,Not edible,Ornamental; moist forest garden; delicate texture; stream bank,,,,,,
Rock Brake,Native,Fern,Not edible,Alpine rock garden; talus slope specialist; small ornamental fern,,,,,,
California Lace Fern,Native,Fern,Not edible,Ornamental lacy fronds; rocky cliff garden; drought-tolerant,,,,,,
Cloak Fern,Native,Fern,Not edible,Desert rock garden; drought-adapted; scale-covered ornamental fern,,,,,,
Horsetail,Native,Fern,Caution,Scouring tool (silica-rich stems); medicinal; pond edge; toxic in quantity,,,,,,
California Spikenard,Native,Herb,Caution,Berries edible; medicinal root; dramatic foliage; moist canyon garden,,,,,,
Cow Parsnip,Native,Herb,Caution,Young parts edible; fiber; large-leaved accent; sap causes phototoxicity,,,,,,
Snowdrop Bush,Native,Shrub,Not edible,Fragrant ornamental; rare foothill woodland; wildlife,,,,,,
Spicebush,Native,Shrub,Caution,Aromatic ornamental; stream garden; bark fragrant; seeds mildly toxic,,,,,,
Bush Anemone,Native,Shrub,Not edible,Rare endemic ornamental; white flowers; Fresno Co. specialty,,,,,,
Mission Manzanita,Native,Shrub,Edible,Berries edible; ornamental bicolor leaves; chaparral; wildlife,,,,,,
Bigpod Ceanothus,Native,Shrub,Edible,Flowers for tea; nitrogen fixer; ornamental; chaparral anchor,,,,,,
Deer Brush,Native,Shrub,Edible,Flowers for tea; nitrogen fixer; deer browse; mountain chaparral,,,,,,
Chaparral Currant,Native,Shrub,Caution,Berries edible tart; ornamental winter bloomer; wildlife food,,,,,,
Squaw Bush,Native,Shrub,Edible,Tart berries eaten; basket weaving; dye; ornamental fall color,,,,,,
Spiny Redberry,Native,Shrub,Poisonous,Wildlife food (birds); thicket habitat; chaparral structure,,,,,,
Hairy Yerba Santa,Native,Shrub,Edible,Medicinal tea; expectorant; cough remedy; aromatic ornamental,,,,,,
Prickly Phlox,Native,Herb,Not edible,Ornamental; spring wildflower; dry rocky slope garden,,,,,,
Inside-out Flower,Native,Herb,Not edible,Ornamental; redwood forest ground cover; delicate white flowers,,,,,,
Coyote Tobacco,Native,Herb,Poisonous,Ceremonial Indigenous use; hummingbird plant; all parts toxic,,,,,,
Datura (Sacred),Native,Herb,Poisonous,Ceremonial plant; ornamental nocturnal blooms; HIGHLY toxic,,,,,,
Catclaw Acacia,Native,Shrub,Edible,Seeds edible; wildlife food; thorny barrier hedge; bee forage,,,,,,
Burrobrush,Native,Shrub,Not edible,Desert wash stabilizer; wildlife cover; xeriscape,,,,,,
Desert Broom,Native,Shrub,Not edible,Erosion control; desert revegetation; wildlife cover,,,,,,
Desert Holly,Native,Shrub,Not edible,Ornamental silver holly-like leaves; desert garden; drought garden,,,,,,
Cheesebush,Native,Shrub,Not edible,Desert wash habitat; strong-smelling; wildlife cover,,,,,,
Goldenhead,Native,Shrub,Not edible,Desert ornamental; yellow flowers; dry wash garden,,,,,,
Parish's Goldeneye,Native,Shrub,Not edible,Late-season pollinator; desert ornamental; yellow daisy flowers,,,,,,
Desert Trumpet,Native,Herb,Edible,Seeds & leaves edible; unique inflated stem; desert curiosity,,,,,,
Silver Cholla,Native,Cactus,Edible,Buds edible; ornamental silver spines; desert wildlife habitat,,,,,,
Barrel Cactus (California),Native,Cactus,Edible,Pulp edible; fruit edible; compass plant (leans south); ornamental,,,,,,
Buckhorn Cholla,Native,Cactus,Edible,Buds edible; bird nesting; ornamental; desert garden anchor,,,,,,
Coast Cholla,Native,Cactus,Edible,Buds edible; coastal sage scrub; bird nesting cactus,,,,,,
Mojave Aster,Native,Herb,Not edible,Ornamental spring desert display; pollinator; xeriscape,,,,,,
Desert Aster,Native,Herb,Not edible,Late-season pollinator; ornamental; desert garden,,,,,,
Spanish Bayonet,Native,Shrub,Edible,Flowers edible; fiber; soap from roots; dramatic ornamental,,,,,,
Shaw's Agave,Native,Cactus,Edible,Roasted hearts edible; fiber; rare coastal ornamental; cultural plant,,,,,,
California Fan Palm,Native,Palm,Edible,Fruit edible; fronds for shelter & baskets; desert oasis anchor,,,,,,
Hesper Palm,Native,Palm,Edible,Fruit edible; ornamental; Baja border specialty; desert island,,,,,,
Desert Senna,Native,Shrub,Caution,Medicinal laxative; ornamental yellow flowers; butterfly host,,,,,,
Cat's Claw Mimosa,Native,Shrub,Not edible,Thorny barrier; wildlife cover; desert wash stabilizer,,,,,,
Honey Mesquite,Native,Tree,Edible,Pods ground into flour; bee forage; wildlife; shade; Indigenous food,,,,,,
Screwbean Mesquite,Native,Tree,Edible,Spiral pods edible; Indigenous food; riparian shade; wildlife,,,,,,
Foxtail Cactus,Native,Cactus,Not edible,Ornamental; unique cylindrical form; desert garden,,,,,,
