Plant Name
Death Camas
Fiddleneck
Butter and Eggs
Rosinweed
Hummingbird Trumpet
Crimson Monkeyflower
Seep Monkeyflower
Scarlet Bush Monkeyflower
Keckiella
Yellow Bush Penstemon
Apache Plume
Cliffrose
Desert Lavender
Pearly Everlasting
Woolly Paintbrush
Indian Warrior
Sea Fig
Spectacle Pod
Valley Oak
California Black Oak
Blue Oak
California Buckeye
Pacific Madrone
California Bay Laurel
Gray Pine
Coulter Pine
Knobcone Pine
White Alder
Big-leaf Maple
Pacific Dogwood
California Ash
Tanoak
Western Juniper
Blue Palo Verde
Desert Ironwood
California Wild Ginger
Coral Bells
Mountain Pennyroyal
Coyote Mint
Purple Needlegrass
Deer Grass
Blue Wild Rye
Salt Grass
California Cord Grass
Tule
Common Cattail
Pacific Rush
Meadow Barley
Indian Ricegrass
One-sided Bluegrass
Pacific Fescue
Slender Hairgrass
Mesa Sedge
Spikerush
Western Sword Fern
Goldback Fern
California Polypody
Five-finger Fern
Silverback Fern
Coffee Fern
Bird's-foot Fern
Bracken Fern
Lady Fern
Rock Brake
California Lace Fern
Cloak Fern
Horsetail
California Spikenard
Cow Parsnip
Snowdrop Bush
Spicebush
Bush Anemone
Mission Manzanita
Bigpod Ceanothus
Deer Brush
Chaparral Currant
Squaw Bush
Spiny Redberry
Hairy Yerba Santa
Prickly Phlox
Inside-out Flower
Coyote Tobacco
Datura
Catclaw Acacia
Burrobrush
Desert Broom
Desert Holly
Cheesebush
Goldenhead
Parish's Goldeneye
Desert Trumpet
Silver Cholla
Barrel Cactus
Buckhorn Cholla
Coast Cholla
Mojave Aster
Desert Aster
Spanish Bayonet
Shaw's Agave
California Fan Palm
Hesper Palm
Desert Senna
Cat's Claw Mimosa
Honey Mesquite
Screwbean Mesquite
Foxtail Cactus
Sea Rocket
Sand Verbena
Scarlet Gilia
Brown-eyed Evening Primrose
Desert Blazingstar
Tansy Phacelia
White Layia
Fremont's Tidytips
Canyon Clarkia
Winecup Clarkia
Elegant Clarkia
Farewell-to-Spring
Hillside Pea
Pacific Pea
Broad-leaf Lupine
Deer Clover
Purple Owl's Clover
Parish's Poppy
Parish's Phacelia
Woolly Phacelia
Caterpillar Phacelia
Scarlet Pimpernel
Wild Mustard
Red-stem Filaree
White-stem Filaree
Foxtail Barley
Wild Oats
Ripgut Brome
Cheatgrass
Italian Ryegrass
Annual Bluegrass
Bermuda Grass
Kikuyu Grass
Hottentot Fig
Freeway Ice Plant
Cape Ivy
English Ivy
Pampas Grass
Giant Reed
Tamarisk
Tree of Heaven
Eucalyptus (Blue Gum)
Eucalyptus (Lemon)
Periwinkle
Common Fennel
Wild Artichoke Thistle
Yellow Star Thistle
Bull Thistle
Milk Thistle
Russian Thistle
London Rocket
Shepherd's Purse
Hairy Bittercress
Common Chickweed
Lamb's Quarters
Common Purslane
Pigweed (Redroot)
Common Mallow
Cheeseweed Mallow
Curly Dock
Broad-leaf Dock
Sheep Sorrel
Yellow Wood Sorrel
Common Groundsel
Bristly Oxtongue
Cat's Ear
Crabgrass
Barnyardgrass
Johnsongrass
Smilo Grass
Jimsonweed
Tree Tobacco
Common Tobacco
Purple Loosestrife
Common Mullein
Moth Mullein
Horehound
Common Plantain
Narrow-leaf Plantain
Spotted Spurge
Prostrate Spurge
Castor Bean
Storksbill
Red Clover
White Clover
Bur Clover
Black Medic
Yellow Sweet Clover
Common Vetch
Hairy Vetch
Alfalfa
Pink Oxalis
Poison Hemlock
Wild Carrot
Pineapple Weed
Common Chamomile
Mayweed
Silver Wattle
Bailey's Acacia
Brazilian Pepper Tree
California Pepper Tree
European Olive
Oleander
Lantana
Bougainvillea
Field Bindweed
Morning Glory
Dodder
Fountain Grass
African Lovegrass
Veldt Grass
Common Fig
Tree Mallow
Pride of Madeira
Spanish Broom
French Broom
Scotch Broom
Gorse
Australian Saltbush
Russian Olive
White Mulberry
Common Hawthorn
London Plane Tree
Canary Island Pine
Italian Cypress
Artichoke
